Budget;Media; Value 
0.8500;MROAS = 1;3.2695
0.0000;MROAS = 1;0.0000
2.7300;MROAS = 1;8.1991
0.9300;MROAS = 1;4.0568
0.7300;MROAS = 1;3.1313
0.1200;MROAS = 1;0.6071
0.0100;MROAS = 1;0.0337
