PDM;POLV;Primary_search;Secondary_search;Facebook;Other Social;Budget
6.0;0.6;4.3;5.5;7.7;5.5;Jan-Aug 2019
7.5;;3.1;5.2;6.8;8.4;Jan-Aug 2020
