Facebook;Prog Display;Secondary Search;Other Social;Direct Display;Primary Search;Youtube OLV;OLV;Audio;OTT;Partnership;Prog OLV;Youtube DD;Budget
6.0;6.9;5.5;6.4;5.4;4.3;1.7;2.5;4.3;3.6;5.0;1.3;2.7;Jan-Oct 2019
6.3;6.1;5.2;4.9;4.8;3.1;1.7;1.5;6.2;3.3;3.0;0.4;0.4;Jan-Oct 2020
