Budget;Media; Value 
0.10000;MROAS = 1;0.59979
0.44000;MROAS = 1;1.95434
0.46000;MROAS = 1;1.00908
0.03000;MROAS = 1;0.35166
0.01000;MROAS = 1;0.04376
0.00000;MROAS = 1;0.00000
0.11000;MROAS = 1;0.49447
0.56000;MROAS = 1;2.55111
0.30000;MROAS = 1;0.99455
0.64000;MROAS = 1;3.18274
0.76000;MROAS = 1;1.51826
