 budget_total ;Audio_TOTAL_Clicks;DD_TOTAL_Impressions;OLV_TOTAL_Clicks;OTT_TOTAL_Impressions;PDM_TOTAL_Impressions;POLV_TOTAL_Clicks;Partnership_TOTAL_Impressions;YT_DD_TOTAL_Clicks;YT_OLV_TOTAL_Impressions;Primary_Search_Impressions;Secondary_Search_Impressions;DOOH_TOTAL_Impressions;Social_TOTAL_Impressions;Facebook_Impressions;profit
 -   ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2719.87402140813
 0.01000000000 ;4.45905216712119E-09;3.88981404856127E-08;2.22079779403826E-09;2.50007336398718E-09;6.88460346150259E-09;5.09111794911133E-10;3.70446777758945E-09;0.999999847710235;5.05284049542693E-09;5.09814962310053E-09;6.45163463324904E-09;1.69118833040519E-09;4.48964313896614E-08;2.99232736327541E-08;3080.24896704794
 0.02000000000 ;9.72347173323609E-09;1.75858769521007E-07;4.79230087489636E-09;5.33452055997814E-09;1.55134945867767E-08;1.13916361679803E-09;7.96856360695252E-09;1.99999935272372;1.12489128718019E-08;1.13687229736461E-08;1.36802802120292E-08;3.75895658357479E-09;2.51977259987853E-07;1.3491186244099E-07;3413.03727733849
 0.03000000000 ;1.35105489987991E-08;1.95531748656161E-07;5.72702401043243E-09;6.66931372164328E-09;2.22987070841302E-08;9.6745124179179E-12;1.08409282215219E-08;2.9999991812773;1.5623208496969E-08;1.57851874423116E-08;2.07100815076776E-08;3.94276494530215E-09;3.75650832321038E-07;1.32422683787645E-07;3719.9109322012
 0.04000000000 ;3.2738543671637E-08;4.72323991818712E-07;1.25036362588591E-08;1.39682461848337E-08;3.88470120398699E-08;3.72017476592401E-09;2.13641379051008E-08;3.99999783760361;2.80712866358357E-08;2.83301564312313E-08;3.62620557233996E-08;9.74396638080312E-09;1.20855943952101E-06;2.55963739653027E-07;4002.46158962437
 0.05000000000 ;3.61010890593343E-08;9.43853518106113E-07;1.1170415243863E-08;1.36826945519776E-08;4.52868809315994E-08;1.00256496428394E-11;3.01567518162395E-08;4.99119477894952;3.11744972116884E-08;3.15089326980201E-08;4.18744284154073E-08;7.60959257069295E-09;0.00880357406793989;4.5455371077485E-07;4262.20507046787
 0.06000000000 ;4.89299801338252E-08;1.58009327147423E-06;1.72872671773513E-08;1.95855363868617E-08;7.66924964866832E-08;3.28482653556638E-09;3.02595953160796E-08;5.23574643673505;4.26771319660424E-08;4.34217270288775E-08;7.02210962222105E-08;1.27861771149552E-08;0.76425102770588;5.90319979554018E-07;4508.61645102553
 0.07000000000 ;4.46103020434734E-08;2.59740284519477E-06;2.05045107241821E-08;2.33619840525111E-08;7.38128535760946E-08;3.74031382372511E-09;3.61653896831085E-08;5.47945426362597;5.14139442457136E-08;5.19419989114916E-08;6.83621245051576E-08;1.51971416079533E-08;1.52054184705133;9.02809294226669E-07;4749.89290576945
 0.08000000000 ;5.13118888921254E-08;5.90014815263955E-06;2.30636339464639E-08;2.64091525117378E-08;8.55595966755679E-08;3.49304564828839E-09;4.13775422910497E-08;5.72231283437545;5.93895354055896E-08;6.00054412233875E-08;7.91838119058242E-08;1.68630348325463E-08;2.2776796890608;1.12975892091949E-06;4986.13396229447
 0.09000000000 ;5.37335516641518E-08;0.0604662669785999;2.18052289339948E-08;2.55594939144235E-08;9.3305575560139E-08;3.44771068884374E-12;4.24893696838108E-08;5.94971106251284;6.28819106282316E-08;6.35922109045973E-08;8.58476921534089E-08;1.48575107559474E-08;2.98982064155284;1.56487972565897E-06;5217.45541471122
 0.10000000000 ;6.19728170288967E-08;0.5536398735652;2.56194371114833E-08;2.98825019408647E-08;1.07288073012085E-07;8.76169484133588E-10;4.91770591496411E-08;6.0720644611497;7.24332988575302E-08;7.32442874888219E-08;9.87335827099331E-08;1.7735405033512E-08;3.37429301205967;2.11626223131793E-06;5445.39080927713
 0.11000000000 ;9.57890013092767E-08;1.04698302699236;5.04939048424012E-08;5.57963712120547E-08;1.52572620445118E-07;1.97777491111207E-08;7.97588426511006E-08;6.19415566682799;1.08856121513672E-07;1.09871936310097E-07;1.41819869599418E-07;4.07019419845931E-08;3.75885749466342;2.95607788722219E-06;5670.89425763162
 0.12000000000 ;5.64175324557704E-08;1.54049626796939;1.48838968929224E-08;1.97345490257529E-08;1.09274890891005E-07;3.19890123837395E-09;4.16713634160827E-08;6.31598470655498;6.87057218009531E-08;6.9635052720014E-08;9.92676825970828E-08;5.90874153083015E-09;4.14351529075334;3.24602386798959E-06;5893.9908679129
 0.13000000000 ;1.4604041684717E-07;2.03417819863646;8.5101045408855E-08;9.22971654814563E-08;2.23236952161399E-07;5.50935615504762E-09;1.24673185151704E-07;6.437550170189;1.63702316384779E-07;0.000000165078590884;2.08536339150439E-07;7.21555001020136E-08;4.52826535635845;4.98848517117573E-06;6114.70503992941
 0.14000000000 ;1.09524584973972E-07;2.52803018961561;5.20507726083395E-08;5.83886056513125E-08;1.83005526347777E-07;1.14312806044171E-08;8.92394350500748E-08;6.5588522802251;1.2614289071361E-07;1.2745445507517E-07;1.68935009376944E-07;3.93546460337823E-08;4.91310860036834;7.96426375287684E-06;6333.06160271305
 0.15000000000 ;1.03150872785005E-07;3.0220485796127;4.30438190905193E-08;4.96302494017623E-08;0.0000001800667774845;8.50612639867859E-09;8.18408461539019E-08;6.67988965376509;1.19431822192111E-07;1.20791219573805E-07;1.64880874815776E-07;2.98417972896108E-08;5.29804350049592;0.0000173649419095863;6549.084570131
 0.16000000000 ;1.06534968509748E-07;3.51622976872227;4.23399975694809E-08;4.97509197861916E-08;1.89627289524565E-07;1.05591720989706E-12;8.36693135288127E-08;6.80066088032332;1.25361030308023E-07;1.26838562448892E-07;1.73658318384435E-07;2.86860541611297E-08;5.68306685404471;0.0000415704421327437;6762.79799910299
 0.17000000000 ;2.20813506931626E-07;3.88999810596482;5.80358435877854E-08;1.42342456236752E-07;3.36941720455202E-07;1.09287997289647E-08;1.86719393850878E-07;6.89180164384378;2.47150659210158E-07;2.49192239886731E-07;3.14590149341087E-07;1.12874175438053E-07;5.97424335930218;0.243955011300623;6974.36785472653
 0.18000000000 ;1.30955857191768E-07;4.14993881595035;6.33394717824415E-08;6.2953131492632E-08;2.30711379855452E-07;7.4951127207389E-09;1.0265717153564E-07;6.95508287659902;1.54102972835858E-07;1.55864548617548E-07;2.11650620463313E-07;3.83574977402449E-08;6.17674401236348;0.718233136999306;7184.61804337056
 0.19000000000 ;1.50462675714493E-07;4.40990169657906;6.78542553320591E-08;7.7252437155758E-08;2.48917066648347E-07;1.37020276962336E-08;1.20740935733629E-07;7.01828471416704;1.75265907769968E-07;1.77289038017945E-07;2.34579188298599E-07;5.03093876128148E-08;6.37924461433456;1.19256765854728;7393.68233003996
 0.20000000000 ;1.39997358323092E-07;4.6698856960977;5.60063304757652E-08;6.55705328854614E-08;2.50591276923042E-07;9.7943038506012E-10;1.09826015296716E-07;7.08140706589997;1.64944368874748E-07;1.66902003501722E-07;2.2919611038305E-07;3.82130164344859E-08;6.58175137000205;1.66695464577393;7601.56743012418
 0.21000000000 ;1.49490733715313E-07;4.92989038349762;5.92626640881527E-08;6.9769778179841E-08;2.67107529105353E-07;2.27115446906233E-09;1.17275250424677E-07;7.14444944249142;1.76099359368432E-07;1.78221471293123E-07;2.44446437841183E-07;4.08943915997801E-08;6.78426457078329;2.14139429838887;7808.27980061554
 0.22000000000 ;1.58835825732024E-07;5.18991617339533;6.41358833477952E-08;7.49786353583049E-08;2.84405258710625E-07;2.52780621408782E-09;1.24780785937615E-07;7.20741222231363;1.87023811127176E-07;1.89243255037893E-07;2.60147212550143E-07;4.42707342520128E-08;6.98678405419003;2.61588615975187;8013.82595184929
 0.23000000000 ;3.53790003540486E-07;5.4499629986514;2.16810013465317E-07;2.33087864169944E-07;5.35529876658187E-07;1.68632953821687E-09;3.04982624035793E-07;7.27029524174078;3.94637885680105E-07;3.97676403523434E-07;4.99835864647224E-07;1.88846165144502E-07;7.18930933232802;3.09042930039671;8218.21211153587
 0.24000000000 ;1.60656150037349E-07;5.7100303853953;2.17745757309384E-07;6.41528240090288E-08;3.70876357405464E-07;1.35493959419391E-07;1.2407952306898E-07;7.33309854453958;1.91504830178846E-07;1.93920241884141E-07;2.64245667087602E-07;3.14323106534918E-08;7.39184197995869;3.56502733599882;8421.44532682808
 0.25000000000 ;3.49423025803268E-07;5.97011991928355;7.41861473879843E-08;8.52794542378289E-08;5.56880421959301E-07;3.58708107365767E-09;2.70624539082043E-07;7.39582147390732;3.47687182529644E-07;3.72528233960779E-07;5.33536211749371E-07;4.77519578778053E-08;7.59438103075894;4.0396749345655;8623.53130224605
 0.26000000000 ;4.07440319349394E-07;6.23022988212645;7.60968526910833E-08;2.66281808018431E-07;6.21468510454343E-07;1.15601736999672E-09;3.4999588087423E-07;7.45846478949066;4.54945744740251E-07;4.58831964119235E-07;5.79400521365463E-07;2.14761721533433E-07;7.79692632458873;4.51437557341481;8824.47663398156
 0.27000000000 ;4.23618371932527E-07;6.49036141947659;7.73568281478837E-08;2.73958553861436E-07;6.47871713478639E-07;7.4079000467605E-11;3.63569511633129E-07;7.52102832590005;4.73433917795755E-07;4.77480865875873E-07;6.03776965277205E-07;2.23085225495502E-07;7.99947902879232;4.98912766160503;9024.28774821768
 0.28000000000 ;2.31685842820915E-07;6.75051460162818;9.69430561860232E-08;1.11753624269876E-07;4.0905296833128E-07;1.36809250059931E-08;1.84247417929212E-07;7.58351191574791;2.69600854960918E-07;2.73530110668059E-07;3.74381478433982E-07;6.96097416238056E-08;8.20203858286872;5.46393286526914;9222.97103653399
 0.29000000000 ;2.19296715885262E-07;7.01068873380143;8.65379578130244E-08;1.01521134187871E-07;4.01780399747123E-07;1.59980946093251E-09;1.71019553670158E-07;7.64591551984532;2.59641172773653E-07;2.62774476139622E-07;3.65311378756458E-07;5.89065663194635E-08;8.40460498744956;5.93878883051447;9420.53235638148
 0.30000000000 ;4.68636052520086E-07;7.27088369397755;9.71212412239548E-08;1.08325490767298E-07;7.25669205227991E-07;9.30068194336394E-09;4.00160115508032E-07;7.70823898358314;5.26815571323656E-07;5.29247381402223E-07;6.75865100585915E-07;9.43229711869642E-08;8.60717838298923;6.41369530398621;9616.977883713
 0.31000000000 ;2.39570043654069E-07;7.53110081344489;9.414117996275E-08;1.10552669481467E-07;4.39671028724077E-07;2.02226445326472E-09;1.86773530161755E-07;7.77048266850485;2.83601230653508E-07;2.87081332269862E-07;4.00046051481703E-07;6.42378765155342E-08;8.80975912754137;6.88865528281172;9812.31438847751
 0.32000000000 ;2.89603861592906E-07;7.79133878304617;1.29682581038762E-07;1.47659194991991E-07;5.1073302318225E-07;2.8565125129872E-08;2.31437617771925E-07;7.83264613939276;3.38167632335248E-07;3.41998374299012E-07;4.66824008727863E-07;9.67911955866846E-08;9.0123470804435;7.36366541565493;10006.5473997609
 0.33000000000 ;2.94236188409779E-07;8.05159806679857;1.29253131367411E-07;1.47819227803324E-07;5.23547054637164E-07;2.51437376875658E-08;2.34148986931891E-07;7.8947296066458;3.4478294759975E-07;3.48756637798688E-07;4.78038223936329E-07;9.53877061468788E-08;9.21494234600248;7.83872735943922;10199.6833237853
 0.34000000000 ;3.53718307873672E-07;8.31187919796365;5.54381017133985E-08;7.81115715781484E-08;6.87484922054619E-07;7.72540810902609E-09;3.44140245765984E-07;7.95673294574797;4.35804428942527E-07;4.80563540464827E-07;3.73977154339247E-07;1.74654858975152E-07;9.4175450657626;8.31383979890723;10391.7281466237
 0.35000000000 ;4.99620523260082E-07;8.57218158237409;7.12770553571648E-08;8.83097386839917E-08;8.04533660418596E-07;1.45672257185591E-07;4.20292754104557E-07;8.01865617144712;2.76782946686175E-07;0.000000346251861557;7.43998674878224E-07;3.13635989169124E-08;9.62015520224478;8.78900361583097;10582.6879436113
 0.36000000000 ;3.08745881497656E-07;8.83250589076857;1.27457407806608E-07;1.47438591547476E-07;4.8105388004543E-07;1.42997144312072E-08;7.43110146201151E-08;8.08049922384987;3.64409290896559E-07;3.69524239849294E-07;2.86891879368837E-07;9.04134287663746E-08;9.82277342395458;9.26421919688167;10772.5689089603
 0.37000000000 ;5.4332100130651E-07;9.09285119300535;4.59271648199102E-08;6.74851246640633E-08;8.7638839470247E-07;1.57641201049896E-07;4.56673156585646E-07;8.14226203791521;2.66273975198316E-07;2.72859965216541E-07;7.19263168057952E-07;1.73579332101777E-08;10.0253989678785;9.73948437800984;10961.3766001371
 0.38000000000 ;3.40578407312361E-07;9.35321855536175;1.42483793744993E-07;1.64500694316215E-07;6.20354782214765E-07;2.0921582278789E-08;2.68105505172157E-07;8.20394475791748;4.00601139511992E-07;4.05424437010535E-07;5.63756512454794E-07;1.02562965991205E-07;10.2280326396191;10.2148010178118;11149.1173783476
 0.39000000000 ;6.32518259764018E-07;9.61360698009393;2.8355061739257E-07;9.73149877856202E-08;1.01586621419247E-06;2.02499132040634E-07;5.3476470204059E-07;8.2655471474529;3.1874560186316E-07;3.23011553995778E-07;7.9854977474827E-07;3.82620970418069E-08;10.4306737105593;10.690167916811;11335.7968184392
 0.40000000000 ;2.78605989938216E-07;9.87401810074165;3.13678962896378E-08;5.80163673799729E-08;4.6392225507497E-07;2.28681304779729E-07;2.1153171375355E-07;8.3270693827405;2.74030182358854E-07;2.77834223357263E-07;4.29817702686313E-07;1.48892200532365E-09;10.6333236933246;11.1655865678967;11521.421343225
