Budget;Media; Value 
0.14000;MROAS = 1;0.35705
0.38000;MROAS = 1;0.82691
0.02000;MROAS = 1;0.29744
0.35000;MROAS = 1;1.26084
0.15000;MROAS = 1;0.63017
0.05000;MROAS = 1;0.44137
0.01000;MROAS = 1;0.03050
1.03000;MROAS = 1;4.42196
0.77000;MROAS = 1;3.42905
0.65000;MROAS = 1;2.83631
0.47000;MROAS = 1;1.26358
