Budget;Media; Value 
0.125;Jan-Aug 2020;1009.841808
0.641;Jan-Aug 2020;7922.67716535433
1.290;Jan-Aug 2020;3311.938985
0.095;Jan-Aug 2020;1062.075828
0.556;Jan-Aug 2020;3737.058644
0.012;Jan-Aug 2020;6.241139507
0.049;Jan-Aug 2020;876.2208815
0.704;Jan-Aug 2020;4149.872135
0.875;Jan-Aug 2020;3236.891616
2.088;Jan-Aug 2020;10070.09626
0.563;Jan-Aug 2020;3697.385352
0;Jan-Aug 2020;0
0.572;Jan-Aug 2020;7095.06115
1.028;Jan-Aug 2020;12540.57191
