budget_total;Value;data
0.123;Audio_TOTAL_Clicks;0.00000248511
0.124;Audio_TOTAL_Clicks;0.00000232233
0.125;Audio_TOTAL_Clicks;0.00000216345
0.126;Audio_TOTAL_Clicks;0.00000243451
0.127;Audio_TOTAL_Clicks;0.00000225967
0.128;Audio_TOTAL_Clicks;0.00000227612
0.129;Audio_TOTAL_Clicks;0.00000232889
0.13;Audio_TOTAL_Clicks;0.00000231859
0.131;Audio_TOTAL_Clicks;0.00000157496
0.132;Audio_TOTAL_Clicks;0.00000251366
0.133;Audio_TOTAL_Clicks;0.00000251247
0.134;Audio_TOTAL_Clicks;0.00000273293
0.135;Audio_TOTAL_Clicks;0.00000467867
0.136;Audio_TOTAL_Clicks;0.00000452788
0.137;Audio_TOTAL_Clicks;0.00000420055
0.138;Audio_TOTAL_Clicks;0.00000388485
0.139;Audio_TOTAL_Clicks;0.00000396095
0.14;Audio_TOTAL_Clicks;0.00000275683
0.141;Audio_TOTAL_Clicks;0.000003519
0.142;Audio_TOTAL_Clicks;0.00000399981
0.143;Audio_TOTAL_Clicks;0.00000437533
0.144;Audio_TOTAL_Clicks;0.00000334368
0.145;Audio_TOTAL_Clicks;0.00000329754
0.146;Audio_TOTAL_Clicks;0.00000306459
0.147;Audio_TOTAL_Clicks;0.00000345905
0.148;Audio_TOTAL_Clicks;0.00000318854
0.149;Audio_TOTAL_Clicks;0.00000679146
0.15;Audio_TOTAL_Clicks;0.0000022278
0.151;Audio_TOTAL_Clicks;0.00000335928
0.152;Audio_TOTAL_Clicks;0.00000430067
0.153;Audio_TOTAL_Clicks;0.00000349362
0.154;Audio_TOTAL_Clicks;0.00000393836
0.155;Audio_TOTAL_Clicks;0.00000295831
0.156;Audio_TOTAL_Clicks;0.00000381986
0.157;Audio_TOTAL_Clicks;0.00000404982
0.158;Audio_TOTAL_Clicks;0.00000373868
0.159;Audio_TOTAL_Clicks;0.00000399856
0.16;Audio_TOTAL_Clicks;0.00000476055
0.161;Audio_TOTAL_Clicks;0.00000454897
0.162;Audio_TOTAL_Clicks;0.00000440023
0.163;Audio_TOTAL_Clicks;0.0000040804
0.164;Audio_TOTAL_Clicks;0.00000448772
0.165;Audio_TOTAL_Clicks;0.00000475639
0.166;Audio_TOTAL_Clicks;0.0000045057
0.167;Audio_TOTAL_Clicks;0.00000556441
0.168;Audio_TOTAL_Clicks;0.00000440018
0.169;Audio_TOTAL_Clicks;0.00000451433
0.17;Audio_TOTAL_Clicks;0.00000475051
0.171;Audio_TOTAL_Clicks;0.00000610947
0.172;Audio_TOTAL_Clicks;0.00000515876
0.173;Audio_TOTAL_Clicks;0.00000493257
0.174;Audio_TOTAL_Clicks;0.00000598591
0.175;Audio_TOTAL_Clicks;0.0000050565
0.176;Audio_TOTAL_Clicks;0.0000050268
0.177;Audio_TOTAL_Clicks;0.00000507032
0.178;Audio_TOTAL_Clicks;0.00000543487
0.179;Audio_TOTAL_Clicks;0.00000508844
0.18;Audio_TOTAL_Clicks;0.00000506908
0.181;Audio_TOTAL_Clicks;0.00000500906
0.182;Audio_TOTAL_Clicks;0.00000265662
0.183;Audio_TOTAL_Clicks;0.00000271635
0.184;Audio_TOTAL_Clicks;0.00000546927
0.185;Audio_TOTAL_Clicks;0.00000313274
0.186;Audio_TOTAL_Clicks;0.00000317661
0.187;Audio_TOTAL_Clicks;0.00000535322
0.188;Audio_TOTAL_Clicks;0.00000572337
0.189;Audio_TOTAL_Clicks;0.00000660333
0.19;Audio_TOTAL_Clicks;0.00000670407
0.191;Audio_TOTAL_Clicks;0.00000677201
0.192;Audio_TOTAL_Clicks;0.00000539672
0.193;Audio_TOTAL_Clicks;0.00000609209
0.194;Audio_TOTAL_Clicks;0.00000689588
0.195;Audio_TOTAL_Clicks;0.00000690302
0.196;Audio_TOTAL_Clicks;0.00000820401
0.197;Audio_TOTAL_Clicks;0.00000793829
0.198;Audio_TOTAL_Clicks;0.00000759106
0.199;Audio_TOTAL_Clicks;0.0000074831
0.2;Audio_TOTAL_Clicks;0.00000875264
0.201;Audio_TOTAL_Clicks;0.00000837835
0.202;Audio_TOTAL_Clicks;0.00000813502
0.203;Audio_TOTAL_Clicks;0.00000833317
0.204;Audio_TOTAL_Clicks;0.0000086563
0.205;Audio_TOTAL_Clicks;0.000275783
0.206;Audio_TOTAL_Clicks;0.00000847176
0.207;Audio_TOTAL_Clicks;0.0000110072
0.208;Audio_TOTAL_Clicks;0.00000968054
0.209;Audio_TOTAL_Clicks;0.000010761
0.21;Audio_TOTAL_Clicks;0.00000847468
0.211;Audio_TOTAL_Clicks;0.00000978138
0.212;Audio_TOTAL_Clicks;0.00000999518
0.213;Audio_TOTAL_Clicks;0.00000987757
0.214;Audio_TOTAL_Clicks;0.0000119945
0.215;Audio_TOTAL_Clicks;0.0000121632
0.216;Audio_TOTAL_Clicks;0.0000099903
0.217;Audio_TOTAL_Clicks;0.0000112476
0.218;Audio_TOTAL_Clicks;0.0000122859
