;IMP_display_hienz_budget;IMP_olv_hienz_budget;IMP_agents_budget;IMP_social_hienz_budget;TV_hienz_grp;TV_sponsor_hienz_grp;Investment;IMP_display_hienz_budget_ROAS;IMP_olv_hienz_budget_ROAS;IMP_agents_budget_ROAS;IMP_social_hienz_budget_ROAS;TV_hienz_grp_ROAS;TV_sponsor_hienz_grp_ROAS
264;560.3682131;782.6609091;616.4050345;579.0471536;755.1448458;684.2109192;264000000;16.18410657;127.3304546;44.20251723;25.5235768;113.5724229;78.10545962
265;560.9476928;783.7415228;617.0424621;579.6459492;757.460659;684.723912;265000000;15.47384639;126.8707614;43.52123103;24.8229746;113.7303295;77.361956
266;561.5223635;784.8149563;617.6745998;580.2397756;759.7729041;685.2317465;266000000;14.76118173;126.4074781;42.83729991;24.11988779;113.8864521;76.61587326
267;562.0922651;785.8812574;618.3014917;580.828674;762.0815867;685.7344747;267000000;14.04613257;125.9406287;42.15074583;23.41433699;114.0407934;75.86723733
268;562.6574374;786.9404734;618.9231811;581.4126853;764.3867122;686.2321478;268000000;13.32871868;125.4702367;41.46159055;22.70634264;114.1933561;75.11607388
269;563.2179194;787.9926515;619.5397113;581.99185;766.6882861;686.7248167;269000000;12.60895969;124.9963258;40.76985566;21.99592502;114.3441431;74.36240833
270;563.7737501;789.0378384;620.1511251;582.5662085;768.9863139;687.2125317;270000000;11.88687507;124.5189192;40.07556257;21.28310424;114.493157;73.60626584
271;564.3249682;790.0760806;620.757465;583.1358005;771.280801;687.6953426;271000000;11.1624841;124.0380403;39.37873251;20.56790024;114.6404005;72.84767131
272;564.8716119;791.1074242;621.3587731;583.7006656;773.571753;688.1732988;272000000;10.43580594;123.5537121;38.67938653;19.8503328;114.7858765;72.08664939
273;565.4137191;792.131915;621.955091;584.2608431;775.8591752;688.646449;273000000;9.706859556;123.0659575;37.97754551;19.13042154;114.9295876;71.32322451
274;565.9513276;793.1495986;622.5464603;584.8163718;778.1430731;689.1148416;274000000;8.97566378;122.5747993;37.27323016;18.40818591;115.0715365;70.55742081
275;566.4844746;794.1605203;623.132922;585.3672904;780.4234521;689.5785245;275000000;8.242237276;122.0802601;36.566461;17.68364519;115.211726;69.78926223
276;567.0131971;795.1647248;623.7145168;585.913637;782.7003176;690.0375449;276000000;7.506598557;121.5823624;35.85725841;16.95681851;115.3501588;69.01877243
277;567.537532;796.1622569;624.2912852;586.4554497;784.9736751;690.4919497;277000000;6.768765981;121.0811285;35.14564258;16.22772485;115.4868375;68.24597486
278;568.0575155;797.153161;624.8632671;586.992766;787.2435299;690.9417854;278000000;6.028757754;120.5765805;34.43163353;15.49638301;115.621765;67.47089272
279;568.5731839;798.1374809;625.4305023;587.5256233;789.5098875;691.387098;279000000;5.286591932;120.0687405;33.71525113;14.76281166;115.7549438;66.69354899
280;569.0845728;799.1152606;625.9930301;588.0540586;791.7727533;691.8279328;280000000;4.542286419;119.5576303;32.99651506;14.0270293;115.8863766;65.9139664
281;569.5917179;800.0865434;626.5508897;588.5781085;794.0321326;692.2643349;281000000;3.795858972;119.0432717;32.27544487;13.28905427;116.0160663;65.13216747
282;570.0946544;801.0513725;627.1041198;589.0978096;796.2880307;692.696349;282000000;3.047327201;118.5256863;31.55205992;12.54890478;116.1440154;64.34817449
283;570.5934171;802.0097908;627.6527589;589.6131977;798.5404532;693.124019;283000000;2.296708569;118.0048954;30.82637943;11.80659886;116.2702266;63.56200951
284;571.0880408;802.961841;628.1968449;590.1243088;800.7894052;693.5473888;284000000;1.544020394;117.4809205;30.09842243;11.06215441;116.3947026;62.77369438
285;571.5785597;803.9075652;628.7364157;590.6311784;803.0348922;693.9665014;285000000;0.78927985;116.9537826;29.36820784;10.31558918;116.5174461;61.98325071
286;572.0650079;804.8470056;629.2715087;591.1338415;805.2769195;694.3813998;286000000;0.03250397;116.4235028;28.63575437;9.566920771;116.6384597;61.19069991
287;572.5474193;805.7802038;629.8021612;591.6323333;807.5154924;694.7921263;287000000;-0.726290356;115.8901019;27.90108061;8.816166635;116.7577462;60.39606317
288;573.0258272;806.7072015;630.32841;592.1266882;809.7506163;695.1987229;288000000;-1.487086377;115.3536007;27.16420499;8.063344079;116.8753081;59.59936145
289;573.500265;807.6280397;630.8502915;592.6169405;811.9822964;695.6012311;289000000;-2.249867482;114.8140198;26.42514577;7.308470271;116.9911482;58.80061554
290;573.9707656;808.5427594;631.3678422;593.1031245;814.2105381;695.9996919;290000000;-3.014617197;114.2713797;25.68392108;6.551562232;117.1052691;57.99984597
291;574.4373616;809.4514012;631.8810978;593.5852737;816.4353467;696.3941462;291000000;-3.781319185;113.7257006;24.9405489;5.792636844;117.2176734;57.1970731
292;574.9000855;810.3540056;632.3900941;594.0634217;818.6567275;696.7846341;292000000;-4.549957246;113.1770028;24.19504703;5.031710848;117.3283637;56.39231707
293;575.3589694;811.2506127;632.8948663;594.5376017;820.8746857;697.1711956;293000000;-5.320515311;112.6253063;23.44743316;4.268800847;117.4373428;55.58559782
294;575.8140451;812.1412622;633.3954496;595.0078466;823.0892265;697.5538702;294000000;-6.092977448;112.0706311;22.69772481;3.503923306;117.5446133;54.7769351
295;576.2653443;813.0259938;633.8918787;595.4741891;825.3003554;697.9326969;295000000;-6.867327855;111.5129969;21.94593936;2.737094552;117.6501777;53.96634844
296;576.7128983;813.9048469;634.3841881;595.9366616;827.5080775;698.3077144;296000000;-7.643550862;110.9524234;21.19209405;1.968330778;117.7540388;53.15385719
297;577.1567381;814.7778603;634.872412;596.3952961;829.7123981;698.678961;297000000;-8.421630929;110.3889302;20.43620598;1.197648042;117.8561991;52.3394805
298;577.5968947;815.6450731;635.3565842;596.8501245;831.9133225;699.0464747;298000000;-9.201552644;109.8225366;19.67829209;0.42506227;117.9566612;51.52323733
