,Audio_TOTAL_Clicks,DD_TOTAL_Impressions,OLV_TOTAL_Clicks,OTT_TOTAL_Impressions,PDM_TOTAL_Impressions,POLV_TOTAL_Clicks,Partnership_TOTAL_Impressions,YT_DD_TOTAL_Clicks,YT_OLV_TOTAL_Impressions,Primary_Search_Impressions,Secondary_Search_Impressions,DOOH_TOTAL_Impressions,Social_TOTAL_Impressions,Facebook_Impressions,Investment,Audio_TOTAL_Clicks_ROAS,DD_TOTAL_Impressions_ROAS,OLV_TOTAL_Clicks_ROAS,OTT_TOTAL_Impressions_ROAS,PDM_TOTAL_Impressions_ROAS,POLV_TOTAL_Clicks_ROAS,Partnership_TOTAL_Impressions_ROAS,YT_DD_TOTAL_Clicks_ROAS,YT_OLV_TOTAL_Impressions_ROAS,Primary_Search_Impressions_ROAS,Secondary_Search_Impressions_ROAS,DOOH_TOTAL_Impressions_ROAS,Social_TOTAL_Impressions_ROAS,Facebook_Impressions_ROAS
173,986.9906688,3424.121059,1117.699932,520.502883,2662.730627,181.038627,443.0458004,2024.261838,1914.846446,8777.483687,6237.024311,709.8389566,2888.034321,5752.462712,1730000,0.360565377,1.25089278,0.408315813,0.19014903,0.972743212,0.066136654,0.16185257,0.739499122,0.699527719,3.206572075,2.278496743,0.259316891,1.055050688,2.101477708
174,986.9906688,3424.126116,1119.645239,520.502883,2662.976249,181.7124405,443.0458004,2024.261838,1914.86183,8809.163095,6246.245397,709.8389566,2888.06484,5752.872582,1740000,0.358493162,1.243705578,0.406675742,0.18905622,0.967241948,0.0660013,0.160922383,0.735249127,0.695513033,3.199650044,2.268751202,0.257826564,1.048998264,2.089549122
175,986.9906688,3424.130883,1121.570634,520.502883,2663.213867,182.383983,443.0458004,2024.261838,1914.876512,8840.682915,6255.345058,709.8389566,2888.093985,5753.269693,1750000,0.35644463,1.23660041,0.405047223,0.187975898,0.961800665,0.065866673,0.160002826,0.731047704,0.691543975,3.192749487,2.259073187,0.256353269,1.043014514,2.077752255
176,986.9906688,3424.135377,1123.476364,520.502883,2663.443744,183.0532621,443.0458004,2024.261838,1914.890524,8872.043949,6264.324894,709.8389566,2888.12182,5753.654447,1760000,0.354419377,1.229575886,0.403430149,0.186907853,0.956418435,0.065732762,0.159093719,0.726894024,0.687619779,3.185870327,2.249462121,0.254896716,1.03709829,2.066085006
177,986.9906688,3424.139615,1125.362669,520.502883,2663.666133,183.7202855,443.0458004,2024.261838,1914.903896,8903.246999,6273.186483,709.8389566,2888.148402,5754.027235,1770000,0.352417007,1.222630642,0.401824411,0.185851877,0.951094348,0.06559956,0.158194885,0.722787278,0.683739696,3.179012488,2.239917433,0.253456622,1.031248469,2.054545318
178,986.9906688,3424.143611,1127.229787,520.502883,2663.881281,184.3850607,443.0458004,2024.261838,1914.916658,8934.29286,6281.931381,709.8389566,2888.173788,5754.388434,1780000,0.350437136,1.215763349,0.400229902,0.184807765,0.945827511,0.065467055,0.157306149,0.718726675,0.679902993,3.172175892,2.230438558,0.252032708,1.025463952,2.043131174
179,986.9906688,3424.147378,1129.077952,520.502883,2664.089424,185.0475953,443.0458004,2024.261838,1914.928837,8965.182324,6290.561125,709.8389566,2888.198031,5754.73841,1790000,0.348479387,1.208972706,0.398646517,0.18377532,0.940617048,0.06533524,0.156427344,0.714711442,0.676108953,3.165360463,2.221024933,0.250624704,1.019743662,2.0318406
180,986.9906688,3424.150931,1130.907397,520.502883,2664.290793,185.707897,443.0458004,2024.261838,1914.940461,8995.916178,6299.077232,709.8389566,2888.221184,5755.077515,1800000,0.34654339,1.202257438,0.397074153,0.182754346,0.935462101,0.065204106,0.155558303,0.710740823,0.672356873,3.158566125,2.211676006,0.249232345,1.014086549,2.020671661
181,986.9906688,3424.15428,1132.718349,520.502883,2664.485608,186.3659731,443.0458004,2024.261838,1914.951555,9026.495207,6307.481197,709.8389566,2888.243295,5755.406092,1810000,0.344628786,1.195616301,0.395512705,0.181744653,0.930361826,0.065073644,0.154698865,0.706814078,0.668646068,3.151792801,2.202391225,0.24785537,1.008491581,2.009622459
182,986.9906688,3424.157438,1134.511033,520.502883,2664.674086,187.0218312,443.0458004,2024.261838,1914.962143,9056.92019,6315.774498,709.8389566,2888.264411,5755.724473,1820000,0.342735221,1.189048078,0.393962073,0.180746056,0.925315397,0.064943845,0.153848871,0.702930484,0.664975865,3.145040418,2.193170046,0.246493528,1.002957751,1.998691136
