YT_DD;YT_OLV;OTT;PDM;POLV;Partnership;Facebook;Other Social;DD;OLV;Budget
5;1.8;;11.1;1.3;;6.6;7.8;6.6;2.5;Jan-Aug 2019
0.2;1.4;3.3;3.2;1.6;1.8;6.1;6.1;4.2;2;Jan-Aug 2020
