Budget;Media; Value 
0.202;Jan-Aug 2019;1010.337857
0.661;Jan-Aug 2019;8034.0157480315
0.531;Jan-Aug 2019;1604.812501
0.094;Jan-Aug 2019;1062.075828
0.562;Jan-Aug 2019;3737.058644
0.064;Jan-Aug 2019;36.95205874
0.084;Jan-Aug 2019;905.0731538
0.373;Jan-Aug 2019;4125.112772
0.604;Jan-Aug 2019;2725.919492
0.816;Jan-Aug 2019;5237.181693
0.542;Jan-Aug 2019;3606.855354
0.105;Jan-Aug 2019;726.4294801
0.301;Jan-Aug 2019;5058.923314
0.895;Jan-Aug 2019;11669.91971
