Audio;YT_DD;YT_OLV;OTT;PDM;POLV;Partnership;Facebook;Other Social;DD;OLV;Budget
4.3;2.3;1.7;3.6;;;5;4.5;5;4.8;2.5;Jan-Aug 2019
6.2;0.5;2.2;;0.7;0.0;3.2;5.6;1.9;6.1;1.2;Jan-Aug 2020
